N,H,f_socio
0,avg_consumption_kwh_month,396.19
0,avg_income_brl,7905.0
0,num_houses,1.0
0,num_inhabitants,3.0
1,avg_consumption_kwh_month,403.09
1,avg_income_brl,9844.0
1,num_houses,49.0
1,num_inhabitants,138.0
2,avg_consumption_kwh_month,472.1
2,avg_income_brl,24709.0
2,num_houses,8.0
2,num_inhabitants,57.0
3,avg_consumption_kwh_month,396.15
3,avg_income_brl,13723.0
3,num_houses,2.0
3,num_inhabitants,134.0
4,avg_consumption_kwh_month,360.46
4,avg_income_brl,2983.0
4,num_houses,81.0
4,num_inhabitants,189.0
5,avg_consumption_kwh_month,369.06
5,avg_income_brl,3937.0
5,num_houses,80.0
5,num_inhabitants,257.0
6,avg_consumption_kwh_month,403.45
6,avg_income_brl,9032.0
6,num_houses,2.0
6,num_inhabitants,240.0
7,avg_consumption_kwh_month,400.25
7,avg_income_brl,8220.0
7,num_houses,1.0
7,num_inhabitants,80.0
8,avg_consumption_kwh_month,355.42
8,avg_income_brl,4009.0
8,num_houses,74.0
8,num_inhabitants,212.0
9,avg_consumption_kwh_month,383.56
9,avg_income_brl,3796.0
9,num_houses,67.0
9,num_inhabitants,151.0
10,avg_consumption_kwh_month,360.36
10,avg_income_brl,3947.0
10,num_houses,59.0
10,num_inhabitants,143.0
11,avg_consumption_kwh_month,370.42
11,avg_income_brl,2475.0
11,num_houses,68.0
11,num_inhabitants,173.0
12,avg_consumption_kwh_month,369.14
12,avg_income_brl,2525.0
12,num_houses,79.0
12,num_inhabitants,205.0
13,avg_consumption_kwh_month,401.2
13,avg_income_brl,7215.0
13,num_houses,2.0
13,num_inhabitants,164.0
14,avg_consumption_kwh_month,386.25
14,avg_income_brl,2884.0
14,num_houses,80.0
14,num_inhabitants,189.0
15,avg_consumption_kwh_month,366.79
15,avg_income_brl,2311.0
15,num_houses,73.0
15,num_inhabitants,192.0
16,avg_consumption_kwh_month,368.37
16,avg_income_brl,2900.0
16,num_houses,78.0
16,num_inhabitants,264.0
17,avg_consumption_kwh_month,370.68
17,avg_income_brl,2173.0
17,num_houses,108.0
17,num_inhabitants,376.0
18,avg_consumption_kwh_month,455.52
18,avg_income_brl,27993.0
18,num_houses,9.0
18,num_inhabitants,64.0
19,avg_consumption_kwh_month,470.17
19,avg_income_brl,19631.0
19,num_houses,9.0
19,num_inhabitants,63.0
20,avg_consumption_kwh_month,453.89
20,avg_income_brl,24851.0
20,num_houses,9.0
20,num_inhabitants,67.0
21,avg_consumption_kwh_month,475.17
21,avg_income_brl,19690.0
21,num_houses,9.0
21,num_inhabitants,52.0
22,avg_consumption_kwh_month,485.63
22,avg_income_brl,29561.0
22,num_houses,9.0
22,num_inhabitants,51.0
23,avg_consumption_kwh_month,396.02
23,avg_income_brl,10537.0
23,num_houses,2.0
23,num_inhabitants,190.0
24,avg_consumption_kwh_month,397.39
24,avg_income_brl,13905.0
24,num_houses,2.0
24,num_inhabitants,160.0
25,avg_consumption_kwh_month,356.44
25,avg_income_brl,4320.0
25,num_houses,69.0
25,num_inhabitants,191.0
26,avg_consumption_kwh_month,354.29
26,avg_income_brl,4457.0
26,num_houses,72.0
26,num_inhabitants,174.0
27,avg_consumption_kwh_month,374.02
27,avg_income_brl,3390.0
27,num_houses,79.0
27,num_inhabitants,262.0
28,avg_consumption_kwh_month,408.48
28,avg_income_brl,14935.0
28,num_houses,2.0
28,num_inhabitants,144.0
29,avg_consumption_kwh_month,430.81
29,avg_income_brl,12976.0
29,num_houses,2.0
29,num_inhabitants,144.0
30,avg_consumption_kwh_month,412.9
30,avg_income_brl,10286.0
30,num_houses,3.0
30,num_inhabitants,366.0
31,avg_consumption_kwh_month,413.83
31,avg_income_brl,13732.0
31,num_houses,1.0
31,num_inhabitants,88.0
32,avg_consumption_kwh_month,386.14
32,avg_income_brl,1626.0
32,num_houses,72.0
32,num_inhabitants,234.0
