M,S,prob_S
1,1,0.5161290322580645
1,2,0.1935483870967742
1,3,0.2903225806451613
2,1,0.17857142857142858
2,2,0.4642857142857143
2,3,0.35714285714285715
3,1,0.41935483870967744
3,2,0.25806451612903225
3,3,0.3225806451612903
4,1,0.5666666666666667
4,2,0.2
4,3,0.23333333333333334
5,1,0.1935483870967742
5,2,0.3870967741935484
5,3,0.41935483870967744
6,1,0.26666666666666666
6,2,0.5
6,3,0.23333333333333334
7,1,0.3225806451612903
7,2,0.41935483870967744
7,3,0.25806451612903225
8,1,0.4838709677419355
8,2,0.3548387096774194
8,3,0.16129032258064516
9,1,0.5
9,2,0.2
9,3,0.3
10,1,0.4838709677419355
10,2,0.2903225806451613
10,3,0.22580645161290322
11,1,0.1
11,2,0.6666666666666666
11,3,0.23333333333333334
12,1,0.5161290322580645
12,2,0.2903225806451613
12,3,0.1935483870967742
