T,C,de_curve
1,1,0.1775
2,1,0.1775
3,1,0.1741
4,1,0.1745
5,1,0.2455
6,1,0.7628
7,1,0.8039
8,1,0.8543
9,1,0.9162
10,1,0.9271
11,1,0.8495
12,1,0.8184
13,1,0.9054
14,1,0.9238
15,1,0.8904
16,1,0.8935
17,1,0.8587
18,1,0.8057
19,1,0.4505
20,1,0.3515
21,1,0.2391
22,1,0.2075
23,1,0.1775
24,1,0.1775
1,2,0.6942
2,2,0.6992
3,2,0.715
4,2,0.7338
5,2,0.6944
6,2,0.6524
7,2,0.6283
8,2,0.5544
9,2,0.5365
10,2,0.4848
11,2,0.4548
12,2,0.4634
13,2,0.4706
14,2,0.4884
15,2,0.4981
16,2,0.5455
17,2,0.6536
18,2,0.7245
19,2,0.8301
20,2,0.8618
21,2,0.9079
22,2,0.8961
23,2,0.862
24,2,0.8471
1,3,0.5032
2,3,0.5621
3,3,0.6212
4,3,0.6567
5,3,0.6434
6,3,0.5414
7,3,0.4773
8,3,0.3934
9,3,0.2855
10,3,0.2338
11,3,0.2338
12,3,0.2524
13,3,0.2746
14,3,0.3574
15,3,0.3971
16,3,0.4845
17,3,0.5826
18,3,0.6535
19,3,0.7591
20,3,0.8108
21,3,0.8069
22,3,0.7051
23,3,0.5697
24,3,0.526
