D,S,T,Pg,Qg
1,1,1,774.6003,403.2285
1,1,2,921.8332,477.5749
1,1,3,1108.6192,572.1904
1,1,4,1307.9031,674.4158
1,1,5,1547.2000,840.7529
1,1,6,2684.9694,1745.8396
1,1,7,1617.3447,1179.1251
1,1,8,1038.7347,963.6737
1,1,9,399.8230,677.8017
1,1,10,-160.8942,382.0152
1,1,11,-498.7478,192.5598
1,1,12,-516.3774,177.2426
1,1,13,-376.3378,274.0385
1,1,14,-166.3343,407.9152
1,1,15,149.1847,610.9368
1,1,16,179.2290,617.6393
1,1,17,836.4318,907.5511
1,1,18,1146.2078,984.9777
1,1,19,1300.4936,802.0178
1,1,20,1228.6670,677.7255
1,1,21,1226.9303,641.7842
1,1,22,1060.8724,549.9081
1,1,23,857.0930,441.4923
1,1,24,771.4189,399.1178
1,2,1,774.6003,403.2285
1,2,2,921.8332,477.5749
1,2,3,1108.6192,572.1904
1,2,4,1307.9031,674.4158
1,2,5,1547.2000,840.7529
1,2,6,2761.0937,1766.7655
1,2,7,1859.0798,1243.3385
1,2,8,1406.1707,1059.4483
1,2,9,940.4293,815.9738
1,2,10,477.5892,542.7308
1,2,11,20.2981,321.7951
1,2,12,2.4739,306.3505
1,2,13,-91.8699,345.0616
1,2,14,74.3744,468.3817
1,2,15,302.9808,649.9036
1,2,16,597.8840,724.1074
1,2,17,1077.0001,969.7168
1,2,18,1477.8524,1071.8378
1,2,19,1300.4936,802.0178
1,2,20,1228.6670,677.7255
1,2,21,1226.9303,641.7842
1,2,22,1060.8724,549.9081
1,2,23,857.0930,441.4923
1,2,24,771.4189,399.1178
1,3,1,774.6003,403.2285
1,3,2,921.8332,477.5749
1,3,3,1108.6192,572.1904
1,3,4,1307.9031,674.4158
1,3,5,1547.2000,840.7529
1,3,6,2761.0937,1766.7655
1,3,7,1915.0654,1258.2936
1,3,8,1517.0246,1088.6006
1,3,9,976.9496,825.4016
1,3,10,840.5429,635.5266
1,3,11,560.5120,458.1797
1,3,12,542.5013,442.6134
1,3,13,740.2278,555.4698
1,3,14,845.8627,664.4856
1,3,15,1003.2605,829.1656
1,3,16,1107.2820,855.3638
1,3,17,1630.2812,1114.8392
1,3,18,1607.5424,1106.1043
1,3,19,1374.2997,821.4090
1,3,20,1228.6670,677.7255
1,3,21,1226.9303,641.7842
1,3,22,1060.8724,549.9081
1,3,23,857.0930,441.4923
1,3,24,771.4189,399.1178
2,1,1,572.9413,294.4853
2,1,2,559.5922,283.8435
2,1,3,447.1556,222.0995
2,1,4,421.7751,207.4503
2,1,5,406.2591,212.4413
2,1,6,721.5400,490.9927
2,1,7,475.5302,439.7394
2,1,8,132.5353,365.2379
2,1,9,-138.3151,315.2226
2,1,10,-330.4129,266.5174
2,1,11,-438.3820,233.5491
2,1,12,-358.4077,283.8723
2,1,13,-64.1685,485.4563
2,1,14,275.4341,704.0138
2,1,15,219.1610,657.4508
2,1,16,-6.2824,495.9132
2,1,17,407.6336,631.8523
2,1,18,748.1941,733.4295
2,1,19,874.5873,554.4087
2,1,20,1024.3645,563.3695
2,1,21,982.7905,511.4202
2,1,22,952.0838,492.1478
2,1,23,739.8739,379.3749
2,1,24,625.8733,321.5487
2,2,1,572.9413,294.4853
2,2,2,559.5922,283.8435
2,2,3,447.1556,222.0995
2,2,4,421.7751,207.4503
2,2,5,406.2591,212.4413
2,2,6,794.3836,509.7309
2,2,7,711.3081,499.9879
2,2,8,492.9256,456.3319
2,2,9,396.3657,449.4816
2,2,10,305.8906,425.8023
2,2,11,81.2814,363.1857
2,2,12,162.0732,414.0444
2,2,13,222.0789,557.6310
2,2,14,518.2865,765.8660
2,2,15,373.1659,696.5511
2,2,16,410.8199,601.3753
2,2,17,646.0488,692.5975
2,2,18,1076.9297,818.3544
2,2,19,874.5873,554.4087
2,2,20,1024.3645,563.3695
2,2,21,982.7905,511.4202
2,2,22,952.0838,492.1478
2,2,23,739.8739,379.3749
2,2,24,625.8733,321.5487
2,3,1,572.9413,294.4853
2,3,2,559.5922,283.8435
2,3,3,447.1556,222.0995
2,3,4,421.7751,207.4503
2,3,5,406.2591,212.4413
2,3,6,794.3836,509.7309
2,3,7,765.9016,514.0146
2,3,8,601.6148,484.0472
2,3,9,432.4757,458.6392
2,3,10,667.5661,517.7517
2,3,11,622.1716,500.0187
2,3,12,703.8804,551.4871
2,3,13,1059.6623,771.6689
2,3,14,1297.1019,966.8156
2,3,15,1074.4931,876.5070
2,3,16,918.1170,731.2293
2,3,17,1194.0509,834.2033
2,3,18,1205.4563,851.8409
2,3,19,947.6873,573.3247
2,3,20,1024.3645,563.3695
2,3,21,982.7905,511.4202
2,3,22,952.0838,492.1478
2,3,23,739.8739,379.3749
2,3,24,625.8733,321.5487
3,1,1,1251.9353,661.0759
3,1,2,1220.6684,637.6968
3,1,3,984.6848,506.4845
3,1,4,900.7087,459.5019
3,1,5,805.2884,431.7636
3,1,6,1377.4178,909.8744
3,1,7,1433.7348,1060.1899
3,1,8,1155.8410,1041.0136
3,1,9,824.0341,963.5736
3,1,10,640.3710,927.7770
3,1,11,400.0610,802.7123
3,1,12,170.1515,640.6114
3,1,13,388.0741,791.6848
3,1,14,626.0554,939.0014
3,1,15,686.1244,967.8466
3,1,16,746.5953,989.9824
3,1,17,1405.6074,1273.6732
3,1,18,1675.6657,1319.8092
3,1,19,1675.4335,1020.3167
3,1,20,1890.0841,1048.7038
3,1,21,1694.5203,892.0002
3,1,22,1505.8487,786.5413
3,1,23,1114.2802,577.9188
3,1,24,999.7946,520.9477
3,2,1,1251.9353,661.0759
3,2,2,1220.6684,637.6968
3,2,3,984.6848,506.4845
3,2,4,900.7087,459.5019
3,2,5,805.2884,431.7636
3,2,6,1451.3124,929.3146
3,2,7,1674.4728,1123.7354
3,2,8,1524.2211,1137.4148
3,2,9,1369.4549,1104.9238
3,2,10,1289.4615,1095.4544
3,2,11,928.5827,938.1292
3,2,12,696.1770,774.3981
3,2,13,676.9497,865.5626
3,2,14,870.6500,1001.9815
3,2,15,841.5962,1007.8957
3,2,16,1170.1434,1099.6270
3,2,17,1649.1255,1337.7845
3,2,18,2011.3140,1409.3412
3,2,19,1675.4335,1020.3167
3,2,20,1890.0841,1048.7038
3,2,21,1694.5203,892.0002
3,2,22,1505.8487,786.5413
3,2,23,1114.2802,577.9188
3,2,24,999.7946,520.9477
3,3,1,1251.9353,661.0759
3,3,2,1220.6684,637.6968
3,3,3,984.6848,506.4845
3,3,4,900.7087,459.5019
3,3,5,805.2884,431.7636
3,3,6,1451.3124,929.3146
3,3,7,1730.2312,1138.5390
3,3,8,1635.3706,1166.7653
3,3,9,1406.3092,1114.5735
3,3,10,1658.7225,1192.4304
3,3,11,1479.1999,1081.4044
3,3,12,1244.1030,915.8978
3,3,13,1522.6551,1084.9723
3,3,14,1655.4322,1206.8753
3,3,15,1550.0121,1192.5230
3,3,16,1686.0316,1235.1963
3,3,17,2209.6372,1487.7243
3,3,18,2142.5834,1444.6605
3,3,19,1749.8687,1040.1302
3,3,20,1890.0841,1048.7038
3,3,21,1694.5203,892.0002
3,3,22,1505.8487,786.5413
3,3,23,1114.2802,577.9188
3,3,24,999.7946,520.9477
